X Y	IV BETA SE P
CLGN bald13 28 -0.005 0.006 0.38
CLIC5 bald13 3 0.037 0.038 0.33
CLMP bald13 10 -0.019 0.014 0.18
CLPS bald13 50 -0.009 0.005 0.058
CLSTN2 bald13 31 -0.001 0.013 0.96
CLSTN3 bald13 14 -0.004 0.01 0.69
CLU bald13 9 0.003 0.027 0.9
CLUL1 bald13 47 0.002 0.008 0.8
CNDP1 bald13 21 -0.016 0.011 0.15
CNPY4 bald13 5 -0.012 0.027 0.66
CNTN1 bald13 17 -0.015 0.013 0.25
CNTN2 bald13 42 0.004 0.007 0.57
CNTN3 bald13 17 0.002 0.013 0.9
CNTN4 bald13 26 0 0.014 0.99
CNTN5 bald13 51 -0.005 0.007 0.45
CNTNAP2 bald13 37 -0.004 0.016 0.81
COCH bald13 17 -0.007 0.012 0.54
COL15A1 bald13 12 0.005 0.016 0.74
COL18A1 bald13 20 0.018 0.022 0.41
COL1A1 bald13 3 -0.088 0.04 0.028
COL24A1 bald13 10 0.108 0.017 5.6e-10
COL28A1 bald13 51 0.007 0.012 0.56
COL2A1 bald13 37 0.001 0.007 0.9
COL3A1 bald13 3 0.03 0.03 0.32
COL4A1 bald13 5 -0.1 0.069 0.15
COL5A1 bald13 8 -0.016 0.044 0.71
COL6A3 bald13 3 0.137 0.105 0.19
COL9A1 bald13 10 0.021 0.016 0.2
COLEC12 bald13 18 -0.001 0.014 0.95
COMP bald13 6 0.002 0.021 0.93
COMT bald13 7 -0.027 0.008 0.0012
CPA1 bald13 7 -0.017 0.023 0.46
CPA2 bald13 11 0.011 0.011 0.32
CPA4 bald13 21 0.001 0.007 0.91
CPB2 bald13 21 -0.001 0.007 0.88
CPE bald13 11 0.031 0.015 0.041
CPM bald13 8 -0.036 0.022 0.1
CPOX bald13 4 -0.039 0.025 0.12
CPPED1 bald13 39 0.02 0.007 0.0063
CPQ bald13 23 -0.005 0.008 0.51
CPVL bald13 30 -0.01 0.004 0.012
CPXM1 bald13 15 0.013 0.011 0.24
CPXM2 bald13 26 0 0.011 0.98
CR1 bald13 34 0.013 0.013 0.31
CR2 bald13 6 -0.01 0.016 0.53
CRACR2A bald13 6 0 0.024 0.99
CREG1 bald13 4 -0.027 0.023 0.23
CRELD1 bald13 37 0.005 0.007 0.48
CRELD2 bald13 16 -0.012 0.02 0.55
CRH bald13 8 0.003 0.021 0.87
CRHBP bald13 24 0.001 0.011 0.93
CRIM1 bald13 7 -0.138 0.049 0.0049
CRIP2 bald13 5 -0.004 0.035 0.91
CRISP2 bald13 24 0.005 0.007 0.44
CRISP3 bald13 20 0.011 0.008 0.15
CRNN bald13 20 -0.001 0.018 0.95
CRTAC1 bald13 29 -0.003 0.004 0.51
CRTAM bald13 8 0.009 0.088 0.91
CRYBB1 bald13 3 0.045 0.016 0.0055
CRYGD bald13 41 -0.001 0.004 0.88
CRYM bald13 7 -0.002 0.013 0.88
CRYZL1 bald13 3 -0.028 0.025 0.27
CSF1 bald13 4 0.016 0.017 0.35
CSF1R bald13 7 -0.014 0.011 0.22
CSF2 bald13 6 -0.035 0.03 0.26
CSF2RB bald13 44 0.002 0.006 0.69
CSF3R bald13 10 0.012 0.014 0.39
CSPG4 bald13 6 -0.016 0.041 0.69
CST1 bald13 20 0.01 0.011 0.38
CST3 bald13 7 -0.003 0.045 0.95
CST5 bald13 30 -0.007 0.012 0.54
CST6 bald13 3 0.017 0.022 0.45
CST7 bald13 40 -0.002 0.006 0.69
CSTB bald13 29 0.001 0.01 0.9
CTBS bald13 23 0.005 0.008 0.53
CTHRC1 bald13 4 -0.006 0.029 0.84
CTRB1 bald13 23 -0.006 0.011 0.59
CTRC bald13 7 0.006 0.022 0.78
CTSB bald13 24 0.018 0.012 0.13
CTSC bald13 35 0 0.005 0.98
CTSD bald13 12 0.003 0.016 0.87
CTSE bald13 15 0.015 0.008 0.064
CTSF bald13 7 -0.025 0.016 0.12
CTSH bald13 23 0 0.005 0.93
CTSO bald13 7 0.017 0.021 0.43
CTSS bald13 11 -0.01 0.008 0.24
CTSV bald13 10 -0.022 0.016 0.16
CTSZ bald13 5 0.01 0.01 0.32
CX3CL1 bald13 8 -0.013 0.026 0.61
CXCL11 bald13 8 0 0.01 0.98
CXCL12 bald13 3 0 0.036 0.99
CXCL16 bald13 10 0.017 0.015 0.26
CXCL1 bald13 17 0.001 0.01 0.95
CXCL5 bald13 6 -0.007 0.028 0.81
CXCL6 bald13 14 0.005 0.01 0.63
CXCL8 bald13 4 0.15 0.058 0.0096
CYB5R2 bald13 13 -0.033 0.018 0.072
CYTL1 bald13 14 -0.001 0.008 0.91
DAPK2 bald13 9 0.01 0.026 0.7
DBH bald13 68 -0.007 0.004 0.071
DBI bald13 6 -0.006 0.023 0.79
DCBLD2 bald13 15 -0.022 0.014 0.11
DCC bald13 4 0.087 0.056 0.12
DCTD bald13 5 0.019 0.062 0.76
DDAH1 bald13 7 0.006 0.022 0.79
DDC bald13 11 -0.001 0.012 0.93
DDR1 bald13 20 -0.002 0.014 0.89
DDT bald13 7 0 0.022 0.99
DDX58 bald13 12 -0.015 0.008 0.06
DECR1 bald13 4 0.071 0.024 0.0034
DFFA bald13 3 -0.105 0.099 0.29
DHRS4L2 bald13 12 -0.005 0.014 0.69
DKK3 bald13 14 -0.024 0.036 0.51
DKK4 bald13 4 -0.029 0.017 0.085
DKKL1 bald13 72 -0.001 0.001 0.42
DLK1 bald13 14 -0.001 0.018 0.98
DLL1 bald13 8 -0.008 0.031 0.81
DNAJA4 bald13 6 0.01 0.06 0.87
DNAJC6 bald13 4 0.012 0.043 0.78
DNER bald13 13 0.041 0.02 0.045
DNM1 bald13 13 0.057 0.027 0.036
DNMBP bald13 3 -0.047 0.044 0.29
DNPEP bald13 3 -0.049 0.076 0.52
DNPH1 bald13 7 -0.015 0.019 0.43
DPEP1 bald13 67 -0.022 0.006 6.8e-05
DPEP2 bald13 9 -0.014 0.047 0.77
DPP10 bald13 17 0.01 0.011 0.36
DPP4 bald13 6 0.074 0.098 0.45
DPP7 bald13 4 -0.05 0.019 0.0098
DPT bald13 22 -0.012 0.008 0.16
DRAXIN bald13 22 0.021 0.01 0.036
DSC2 bald13 6 0.022 0.023 0.34
DSCAM bald13 17 0.008 0.016 0.63
DSG2 bald13 11 -0.008 0.016 0.62
DSG3 bald13 7 0.016 0.016 0.32
DSG4 bald13 4 -0.047 0.061 0.44
DTD1 bald13 3 -0.04 0.028 0.16
DTNB bald13 3 -0.051 0.093 0.58
DTX3 bald13 3 0.082 0.043 0.055
DTYMK bald13 4 -0.059 0.092 0.52
DUSP13 bald13 4 0.007 0.02 0.72
DXO bald13 9 -0.002 0.013 0.89
ECE1 bald13 5 0.008 0.031 0.81
ECHDC3 bald13 19 0.007 0.008 0.35
ECM1 bald13 32 0.01 0.009 0.3
EDAR bald13 18 0.002 0.009 0.87
EDN1 bald13 4 -0.013 0.019 0.49
EFCAB2 bald13 10 0.005 0.015 0.72
EFHD1 bald13 10 -0.016 0.016 0.31
EFNA1 bald13 4 0.01 0.014 0.48
EFNA4 bald13 5 -0.013 0.038 0.73
EGFL7 bald13 8 -0.044 0.022 0.05
EGFLAM bald13 13 -0.011 0.012 0.37
EGFR bald13 6 -0.009 0.019 0.66
EHBP1 bald13 5 -0.043 0.068 0.53
EIF2AK3 bald13 3 -0.047 0.031 0.13
ELAC1 bald13 3 -0.051 0.031 0.1
ENDOU bald13 12 0.002 0.01 0.8
ENG bald13 7 0.018 0.026 0.5
ENO1 bald13 3 -0.021 0.029 0.46
ENO2 bald13 4 -0.018 0.04 0.66
ENPP2 bald13 17 0.002 0.012 0.85
ENPP5 bald13 51 0.002 0.006 0.76
ENPP6 bald13 13 -0.017 0.026 0.51
ENPP7 bald13 44 -0.005 0.005 0.34
ENTPD5 bald13 15 0.003 0.01 0.77
ENTPD6 bald13 19 0.006 0.021 0.78
ENTR1 bald13 9 0.013 0.024 0.6
EPHA1 bald13 8 -0.004 0.018 0.8
EPHA2 bald13 7 0.009 0.026 0.74
EPHA4 bald13 7 0.038 0.028 0.18
EPHB4 bald13 5 -0.058 0.016 0.00025
EPHB6 bald13 4 -0.023 0.035 0.52
EPHX2 bald13 4 0.033 0.038 0.39
EPO bald13 3 0.004 0.043 0.93
EPPK1 bald13 44 -0.011 0.007 0.13
EPS8L2 bald13 10 -0.009 0.015 0.56
ERBB2 bald13 13 0 0.015 0.98
ERBB3 bald13 7 -0.005 0.021 0.82
ERBB4 bald13 15 -0.01 0.019 0.59
ERMAP bald13 5 -0.053 0.026 0.046
ERN1 bald13 5 0.054 0.034 0.11
ESAM bald13 4 -0.002 0.016 0.91
ESM1 bald13 6 -0.036 0.035 0.31
EXTL1 bald13 8 -0.016 0.029 0.58
F10 bald13 10 -0.005 0.019 0.78
F11 bald13 9 0.009 0.039 0.81
F12 bald13 61 -0.005 0.004 0.23
F13B bald13 16 0.012 0.013 0.36
F2 bald13 4 -0.02 0.034 0.56
F2R bald13 6 0 0.042 1
F3 bald13 11 -0.046 0.028 0.1
F7 bald13 16 -0.014 0.012 0.25
FABP2 bald13 6 0.001 0.02 0.94
FABP3 bald13 4 -0.005 0.04 0.91
FABP9 bald13 6 0 0.049 1
FADD bald13 3 0.023 0.042 0.58
FAM13A bald13 7 0.001 0.039 0.98
FAM171B bald13 10 0 0.013 0.99
FAM172A bald13 5 -0.036 0.032 0.25
FAM20A bald13 8 -0.037 0.039 0.34
FAM3B bald13 19 -0.002 0.008 0.81
FAM3D bald13 9 0.022 0.014 0.12
FAP bald13 6 -0.023 0.025 0.35
FAS bald13 13 -0.013 0.014 0.35
FBLN2 bald13 9 -0.003 0.032 0.92
FBN2 bald13 8 -0.027 0.015 0.072
FCAMR bald13 10 0.01 0.032 0.76
FCAR bald13 61 0.013 0.006 0.016
FCER1A bald13 5 -0.014 0.027 0.61
FCER2 bald13 17 -0.004 0.013 0.75
FCGR2A bald13 43 -0.002 0.006 0.68
FCGR2B bald13 26 0.025 0.012 0.046
FCGR3B bald13 58 -0.01 0.003 6.1e-05
FCN1 bald13 15 0.003 0.005 0.61
FCN2 bald13 25 -0.006 0.007 0.42
FCRL1 bald13 8 -0.007 0.026 0.77
FCRL2 bald13 24 0.027 0.031 0.38
FCRL3 bald13 58 0.006 0.007 0.34
FCRL5 bald13 12 -0.02 0.01 0.038
FCRL6 bald13 26 -0.002 0.007 0.82
FCRLB bald13 36 0.001 0.007 0.89
FES bald13 3 -0.137 0.033 3e-05
FETUB bald13 19 0.006 0.008 0.4
FGA bald13 5 -0.005 0.018 0.8
FGF2 bald13 54 -0.008 0.01 0.4
FGFBP1 bald13 10 -0.002 0.047 0.97
FGFBP2 bald13 16 0.016 0.013 0.22
FGFBP3 bald13 11 -0.023 0.016 0.15
FGFR2 bald13 8 0.046 0.033 0.16
FGFR4 bald13 59 0.001 0.006 0.84
FGL1 bald13 36 -0.003 0.008 0.68
FHIT bald13 8 -0.015 0.043 0.72
FIS1 bald13 5 -0.01 0.029 0.74
FKBP1B bald13 6 0.002 0.032 0.95
FKBP5 bald13 5 0.028 0.018 0.13
FKBPL bald13 5 -0.034 0.046 0.46
FLRT2 bald13 27 -0.008 0.008 0.36
FLT4 bald13 14 -0.005 0.01 0.62
FN1 bald13 11 0.022 0.018 0.2
FNDC1 bald13 26 0 0.023 0.99
FOLH1 bald13 6 -0.079 0.04 0.048
FOLR1 bald13 6 -0.027 0.027 0.32
FOLR3 bald13 33 0.005 0.006 0.39
FOXO1 bald13 5 -0.058 0.086 0.5
FRZB bald13 16 0.003 0.011 0.8
FSTL1 bald13 6 0.012 0.022 0.59
FSTL3 bald13 6 0.053 0.05 0.29
FTCD bald13 10 0 0.034 0.99
FUCA1 bald13 28 0.004 0.009 0.68
FUOM bald13 9 0.008 0.02 0.69
FUT8 bald13 44 0 0.007 0.97
FXN bald13 6 0.082 0.098 0.4
FXYD5 bald13 7 0.065 0.023 0.0041
GALNT10 bald13 14 0.013 0.012 0.31
GALNT2 bald13 18 -0.016 0.022 0.47
GALNT3 bald13 10 0 0.026 0.99
GALNT5 bald13 10 -0.004 0.013 0.78
GALNT7 bald13 6 -0.023 0.037 0.53
GAS6 bald13 14 -0.031 0.057 0.59
GASK1A bald13 38 -0.008 0.007 0.26
GBP1 bald13 6 -0.007 0.019 0.72
GBP2 bald13 6 0.006 0.044 0.89
GBP4 bald13 30 -0.001 0.006 0.9
GC bald13 78 0.003 0.005 0.48
GCNT1 bald13 19 0.008 0.016 0.63
GDF15 bald13 11 -0.005 0.009 0.58
GDNF bald13 17 -0.006 0.016 0.71
GFAP bald13 6 -0.043 0.053 0.42
GFRA1 bald13 11 -0.016 0.018 0.37
GFRA2 bald13 20 0.021 0.007 0.0019
GFRA3 bald13 6 -0.036 0.04 0.37
GFRAL bald13 30 0.012 0.012 0.31
GGACT bald13 12 0.013 0.005 0.0069
GGCT bald13 5 0.015 0.063 0.81
GGH bald13 24 0.001 0.009 0.92
GGT1 bald13 20 -0.01 0.014 0.48
GGT5 bald13 16 -0.009 0.014 0.5
GHR bald13 30 0.016 0.008 0.039
GHRL bald13 5 0.026 0.021 0.21
GIMAP7 bald13 20 -0.004 0.005 0.45
GIMAP8 bald13 9 0.013 0.016 0.44
GIPC2 bald13 9 -0.004 0.015 0.77
GIPC3 bald13 8 -0.009 0.014 0.52
GLO1 bald13 7 -0.002 0.044 0.96
GLRX5 bald13 5 0.032 0.036 0.38
GLRX bald13 21 -0.013 0.008 0.12
GM2A bald13 24 0.001 0.007 0.83
GMPR2 bald13 6 0 0.036 0.99
GMPR bald13 10 0.006 0.015 0.67
GNLY bald13 18 -0.003 0.008 0.71
GNPDA1 bald13 6 0.028 0.031 0.37
GNPDA2 bald13 13 -0.035 0.016 0.032
GOLGA3 bald13 6 -0.024 0.028 0.39
GP1BA bald13 5 0.012 0.032 0.71
GP2 bald13 12 -0.01 0.011 0.36
GP6 bald13 10 0.036 0.022 0.097
GPA33 bald13 5 -0.004 0.022 0.86
GPC1 bald13 12 0.01 0.012 0.42
GPC5 bald13 62 -0.002 0.003 0.64
GPD1 bald13 5 0.02 0.029 0.49
GPHA2 bald13 8 -0.053 0.028 0.062
GPIHBP1 bald13 12 -0.017 0.015 0.24
GPNMB bald13 18 0.005 0.012 0.68
GPR158 bald13 6 0.025 0.1 0.8
GPR15L bald13 9 -0.061 0.015 4.9e-05
GPR37 bald13 60 0.011 0.011 0.32
GPRC5C bald13 5 -0.065 0.107 0.55
GRHPR bald13 9 0.059 0.089 0.51
GRIK2 bald13 9 -0.01 0.013 0.46
GRN bald13 5 -0.016 0.02 0.42
GRP bald13 8 -0.006 0.013 0.65
GSN bald13 10 -0.039 0.019 0.044
GSR bald13 7 0.008 0.04 0.83
GSTA1 bald13 6 -0.009 0.011 0.43
GSTA3 bald13 5 -0.008 0.013 0.54
GSTM4 bald13 12 -0.014 0.028 0.61
GSTP1 bald13 7 0.028 0.02 0.15
GSTT2B bald13 69 0.002 0.002 0.34
GUCA2A bald13 10 0.004 0.023 0.86
GUSB bald13 10 0.04 0.025 0.11
GZMB bald13 8 0.003 0.012 0.8
GZMH bald13 12 -0.046 0.016 0.0032
HAGH bald13 9 0 0.029 0.99
HAVCR1 bald13 24 -0.014 0.004 0.00083
HAVCR2 bald13 10 0.008 0.015 0.6
HBQ1 bald13 23 -0.004 0.009 0.65
HBZ bald13 84 0.007 0.003 0.016
HCG22 bald13 16 0.009 0.007 0.19
HDDC2 bald13 39 -0.002 0.013 0.85
HDGF bald13 54 0.009 0.005 0.068
HEG1 bald13 7 0.044 0.069 0.52
HEPACAM2 bald13 7 -0.134 0.061 0.027
HGFAC bald13 33 -0.005 0.006 0.4
HGF bald13 5 0.077 0.045 0.086
HIP1R bald13 5 -0.024 0.046 0.59
HJV bald13 5 -0.029 0.034 0.38
HLA-A bald13 67 0.011 0.001 3e-20
HLA-DRA bald13 64 -0.001 0.007 0.93
HLA-E bald13 21 0.017 0.016 0.29
HMBS bald13 7 -0.041 0.025 0.096
HMCN2 bald13 37 -0.007 0.007 0.34
HMOX1 bald13 5 -0.052 0.058 0.37
HNMT bald13 23 0.006 0.008 0.45
HPCAL1 bald13 7 -0.045 0.029 0.12
HPGDS bald13 14 -0.007 0.012 0.57
HPSE bald13 6 0.02 0.029 0.49
HRC bald13 5 0.012 0.032 0.7
HRG bald13 18 0 0.008 0.95
HS1BP3 bald13 6 -0.021 0.023 0.36
HS3ST3B1 bald13 12 0.008 0.023 0.73
HS6ST1 bald13 12 0.001 0.016 0.96
HSBP1 bald13 28 -0.002 0.013 0.86
HSD17B14 bald13 51 -0.005 0.005 0.35
HSDL2 bald13 27 -0.011 0.024 0.64
HSPA1A bald13 6 -0.015 0.037 0.68
HSPA2 bald13 6 0.058 0.071 0.41
HSPB1 bald13 12 -0.039 0.034 0.26
HSPG2 bald13 11 -0.002 0.022 0.94
HYAL1 bald13 6 -0.001 0.021 0.98
HYOU1 bald13 7 0.042 0.024 0.081
ICAM1 bald13 24 0.012 0.015 0.43
ICAM3 bald13 23 0.012 0.021 0.58
ICAM4 bald13 6 -0.041 0.029 0.16
ICAM5 bald13 38 0.002 0.007 0.75
ICOSLG bald13 11 -0.007 0.012 0.53
IDI2 bald13 17 -0.001 0.012 0.96
IDO1 bald13 8 0.002 0.014 0.86
IDUA bald13 37 -0.001 0.009 0.94
IFI30 bald13 10 0.009 0.013 0.53
IFNAR1 bald13 16 -0.006 0.012 0.61
IFNGR1 bald13 5 0.046 0.024 0.053
IFNGR2 bald13 61 0.001 0.003 0.75
IFNLR1 bald13 18 -0.005 0.014 0.72
IGDCC4 bald13 15 -0.005 0.011 0.67
IGF1R bald13 10 -0.014 0.038 0.72
IGF2R bald13 20 0.001 0.009 0.88
IGFBP3 bald13 9 -0.009 0.026 0.73
IGFBP6 bald13 9 -0.018 0.037 0.63
IGFBP7 bald13 14 0.015 0.009 0.1
IGFBPL1 bald13 25 -0.003 0.009 0.75
IGLC2 bald13 6 0.013 0.022 0.54
IGSF21 bald13 14 -0.01 0.014 0.47
IGSF3 bald13 9 0.004 0.026 0.87
IGSF9 bald13 9 -0.018 0.017 0.3
IL10RB bald13 15 -0.001 0.007 0.87
IL12B bald13 14 0.017 0.019 0.35
IL12RB1 bald13 11 0.019 0.028 0.51
IL15RA bald13 10 -0.02 0.011 0.079
IL16 bald13 18 -0.003 0.011 0.78
IL17C bald13 5 0.03 0.036 0.41
IL17D bald13 11 -0.033 0.021 0.11
IL17F bald13 5 -0.001 0.044 0.99
IL17RA bald13 56 -0.019 0.004 4.4e-06
IL17RB bald13 38 -0.003 0.006 0.67
IL18 bald13 10 -0.002 0.009 0.81
IL18BP bald13 7 -0.036 0.035 0.31
IL18R1 bald13 48 0.007 0.002 0.0034
IL1R1 bald13 13 0 0.022 0.99
IL1R2 bald13 24 -0.014 0.009 0.14
IL1RAP bald13 42 0.002 0.008 0.77
IL1RL1 bald13 39 0.002 0.005 0.72
IL1RL2 bald13 32 0.011 0.007 0.13
IL1RN bald13 8 0.001 0.02 0.94
IL22 bald13 6 0.073 0.038 0.056
IL22RA1 bald13 8 0.065 0.025 0.011
IL2RA bald13 30 -0.006 0.006 0.31
IL31RA bald13 26 0.004 0.006 0.57
IL32 bald13 10 0 0.019 0.98
IL34 bald13 40 0.003 0.006 0.65
IL4R bald13 10 -0.02 0.063 0.75
IL5RA bald13 30 0.006 0.006 0.32
IL6R bald13 39 0.005 0.004 0.18
IL7R bald13 21 0.002 0.016 0.91
INHBB bald13 5 0.053 0.044 0.23
INHBC bald13 20 0.019 0.018 0.29
INSL4 bald13 6 0.019 0.029 0.5
INSL5 bald13 7 0.011 0.015 0.45
IPCEF1 bald13 6 -0.095 0.045 0.037
IQGAP2 bald13 6 -0.122 0.089 0.17
ISLR2 bald13 9 -0.032 0.02 0.1
ISM1 bald13 19 -0.022 0.036 0.54
ITGA11 bald13 13 -0.009 0.014 0.51
ITGA2 bald13 33 0.014 0.008 0.073
ITGA6 bald13 7 -0.002 0.029 0.95
ITGAL bald13 6 0.001 0.028 0.97
ITGAV bald13 5 0.035 0.024 0.14
ITGB2 bald13 7 0.078 0.053 0.14
ITGB5 bald13 9 -0.005 0.04 0.89
ITGB7 bald13 7 -0.001 0.026 0.98
ITGBL1 bald13 26 -0.005 0.008 0.54
ITIH3 bald13 15 0.04 0.012 0.00066
ITIH4 bald13 14 0.085 0.037 0.022
ITPA bald13 15 0.037 0.012 0.0013
ITPR1 bald13 5 -0.006 0.041 0.89
JAM3 bald13 6 -0.027 0.04 0.5
KAZALD1 bald13 21 0.003 0.01 0.73
KDR bald13 16 -0.006 0.024 0.81
KEL bald13 12 -0.013 0.013 0.31
KHK bald13 8 0 0.011 0.99
KIAA0319 bald13 19 -0.023 0.013 0.072
KIR2DL2 bald13 36 -0.008 0.006 0.17
KIR2DL3 bald13 40 -0.009 0.009 0.37
KIR2DS4 bald13 44 0.008 0.005 0.11
KIR3DL1 bald13 75 -0.015 0.003 3.7e-07
KIR3DL2 bald13 6 -0.043 0.041 0.3
KIRREL2 bald13 12 0.003 0.017 0.88
KLB bald13 36 0.008 0.007 0.29
KLK10 bald13 30 -0.007 0.004 0.054
KLK11 bald13 8 0.01 0.01 0.3
KLK12 bald13 32 -0.001 0.002 0.62
KLK13 bald13 20 0.008 0.009 0.4
KLK14 bald13 26 -0.006 0.011 0.56
KLK15 bald13 45 0.002 0.005 0.7
KLK1 bald13 15 0.01 0.01 0.3
KLK3 bald13 6 -0.003 0.039 0.95
KLK4 bald13 34 0.01 0.007 0.16
KLK6 bald13 7 0.066 0.024 0.0068
KLK7 bald13 15 -0.002 0.012 0.85
KLK8 bald13 15 0.003 0.014 0.83
KLKB1 bald13 12 0.011 0.009 0.24
KLRB1 bald13 9 -0.002 0.029 0.93
KLRD1 bald13 20 -0.011 0.015 0.48
KLRF1 bald13 9 0.007 0.027 0.81
KLRK1 bald13 23 0.013 0.012 0.27
KRT19 bald13 5 0.026 0.127 0.84
KRT5 bald13 5 -0.004 0.077 0.95
KYAT1 bald13 6 0.015 0.044 0.74
KYNU bald13 13 -0.016 0.016 0.33
LACTB2 bald13 6 -0.055 0.022 0.013
LAG3 bald13 8 -0.06 0.045 0.18
LAIR1 bald13 27 -0.007 0.011 0.55
LAIR2 bald13 50 0.006 0.005 0.21
LAMA4 bald13 5 0.051 0.026 0.048
LAMB1 bald13 24 0.017 0.006 0.0046
LAMP3 bald13 7 0.005 0.026 0.83
LAYN bald13 11 -0.028 0.032 0.38
LBP bald13 29 0.016 0.013 0.21
LCN15 bald13 18 0.007 0.014 0.63
LCP1 bald13 20 -0.011 0.008 0.14
LECT2 bald13 44 -0.006 0.008 0.45
LEFTY2 bald13 31 0.003 0.007 0.72
LEG1 bald13 10 -0.006 0.005 0.22
LEPR bald13 12 0.006 0.02 0.78
LGALS1 bald13 11 0.017 0.012 0.15
LGALS3 bald13 31 -0.003 0.009 0.71
LGALS3BP bald13 14 -0.003 0.022 0.89
LGALS4 bald13 7 0.033 0.026 0.21
LGALS8 bald13 10 -0.026 0.017 0.13
LGALS9 bald13 19 -0.004 0.014 0.76
LGMN bald13 18 -0.024 0.026 0.36
LHPP bald13 25 -0.003 0.013 0.81
LIFR bald13 8 -0.036 0.024 0.14
LILRA2 bald13 33 -0.005 0.007 0.48
LILRA3 bald13 68 -0.003 0.003 0.31
LILRA5 bald13 17 0.002 0.028 0.94
LILRA6 bald13 79 0.001 0.005 0.82
LILRB1 bald13 19 -0.01 0.012 0.44
LILRB2 bald13 52 0.002 0.01 0.8
LILRB4 bald13 18 0.016 0.012 0.18
LILRB5 bald13 90 -0.005 0.001 4.2e-05
LIPF bald13 6 0.001 0.025 0.96
LMOD1 bald13 8 0.017 0.031 0.59
LPA bald13 66 -0.002 0.006 0.67
LPL bald13 14 0.001 0.009 0.93
LPO bald13 11 -0.003 0.02 0.86
LRG1 bald13 17 -0.001 0.003 0.83
LRIG1 bald13 39 0.012 0.004 0.0011
LRP11 bald13 29 0.022 0.007 0.0029
LRP1 bald13 5 -0.161 0.089 0.071
LRPAP1 bald13 14 0.01 0.014 0.48
LRRC25 bald13 9 -0.016 0.016 0.32
LRRC37A2 bald13 24 -0.034 0.03 0.27
LRRC38 bald13 5 -0.001 0.032 0.97
LRRN1 bald13 34 0.007 0.009 0.44
LRTM2 bald13 5 0.003 0.033 0.92
LSP1 bald13 5 0.014 0.025 0.57
LTA bald13 44 -0.002 0.006 0.77
LTB bald13 8 0.034 0.027 0.2
LTBP2 bald13 10 -0.016 0.037 0.67
LTBP3 bald13 20 0.004 0.017 0.82
LTBR bald13 10 0.01 0.018 0.56
LUZP2 bald13 13 0.001 0.015 0.94
LXN bald13 6 0.002 0.012 0.85
LY6D bald13 17 -0.003 0.011 0.8
LY75 bald13 74 0.019 0.002 5.3e-22
LY96 bald13 4 0.005 0.075 0.95
LY9 bald13 21 0.01 0.01 0.3
LYPD3 bald13 14 -0.003 0.017 0.87
LYPD8 bald13 33 -0.003 0.008 0.75
LYVE1 bald13 7 -0.009 0.028 0.75
LYZL2 bald13 5 -0.023 0.02 0.24
MAD1L1 bald13 6 -0.041 0.026 0.12
MAMDC2 bald13 8 0.013 0.02 0.51
MAMDC4 bald13 10 -0.005 0.02 0.79
MAN1A2 bald13 8 0.011 0.024 0.66
MAN2B2 bald13 46 -0.002 0.006 0.78
MANF bald13 4 -0.027 0.059 0.64
MANSC4 bald13 25 0.007 0.007 0.3
MAP2K1 bald13 5 -0.06 0.1 0.55
MAP4K5 bald13 4 0.047 0.024 0.047
MARCO bald13 5 -0.009 0.027 0.74
MASP1 bald13 13 0.025 0.017 0.13
MATN2 bald13 18 0.017 0.018 0.36
MATN3 bald13 34 0.008 0.01 0.44
MBL2 bald13 52 0.002 0.005 0.66
MCAM bald13 7 -0.058 0.034 0.09
MCEMP1 bald13 8 0.002 0.014 0.88
MDGA1 bald13 31 0.007 0.001 1.7e-10
MDK bald13 5 0.034 0.03 0.26
MECR bald13 4 -0.015 0.067 0.82
MEGF10 bald13 19 0.02 0.008 0.011
MEGF11 bald13 6 -0.013 0.019 0.49
MELTF bald13 43 0.005 0.008 0.58
MEP1A bald13 7 0.038 0.02 0.065
MEP1B bald13 67 -0.004 0.005 0.45
MEPE bald13 7 0.035 0.027 0.2
MERTK bald13 10 -0.036 0.029 0.22
METAP1D bald13 5 -0.046 0.056 0.41
MET bald13 15 0.045 0.038 0.23
MFAP5 bald13 10 -0.011 0.015 0.48
MFGE8 bald13 10 0.028 0.034 0.41
MGLL bald13 5 -0.017 0.099 0.86
MGMT bald13 20 0.005 0.013 0.71
MIA bald13 26 0.009 0.005 0.095
MILR1 bald13 53 0.008 0.008 0.28
MLN bald13 6 -0.007 0.006 0.2
MME bald13 4 -0.043 0.052 0.41
MMP10 bald13 21 -0.01 0.008 0.21
MMP1 bald13 25 -0.008 0.009 0.36
MMP3 bald13 22 0.015 0.008 0.05
MMP7 bald13 8 -0.006 0.014 0.65
MMP8 bald13 15 0.006 0.015 0.66
MOCS2 bald13 16 0.013 0.007 0.076
MOG bald13 14 -0.001 0.022 0.97
MPI bald13 6 -0.065 0.028 0.018
MPO bald13 13 0.016 0.011 0.16
MRC1 bald13 16 0.02 0.026 0.44
MRI1 bald13 12 -0.005 0.01 0.66
MSLN bald13 38 0.008 0.007 0.27
MSMB bald13 52 0.004 0.003 0.11
MSR1 bald13 21 0.022 0.01 0.026
MSRA bald13 4 0.073 0.079 0.35
MST1 bald13 41 0.015 0.003 4.7e-08
MSTN bald13 4 -0.043 0.052 0.4
MTHFSD bald13 8 0.005 0.009 0.6
MTSS2 bald13 4 -0.004 0.045 0.92
MTUS1 bald13 7 0.021 0.036 0.56
MUC13 bald13 6 -0.007 0.021 0.75
